#flows  SafeGuard   Min   Max     Sentinel   Min   Max
	200	231	        221	  240     295	     284   307
	300	328	        313	  339     407	     396   418			
	400	398	        381	  419     517	     506   529				
	500	466	        453	  483     631	     619   645			
	600	509	        493	  523     704        692   718	
	
		
		


	
		
		


